character	grade	frequency_rank	stroke_count	meaning	onyomi	kunyomi	radical
日	1	1	4	day, sun, Japan, counter for days	ニチ,ジツ	ひ,-び,-か	日
一	1	2	1	one, one radical (no.1)	イチ,イツ	ひと-,ひと.つ	一
国	2	3	8	country	コク	くに	囗
会	2	4	6	meeting, meet, party, association, interview, join	カイ,エ	あ.う,あ.わせる,あつ.まる	化
人	1	5	2	person	ジン,ニン	ひと,-り,-と	化
年	1	6	6	year, counter for years	ネン	とし	干
大	1	7	3	large, big	ダイ,タイ	おお-,おお.きい,-おお.いに	大
十	1	8	2	ten	ジュウ,ジッ,ジュッ	とお,と,そ	十
二	1	9	2	two, two radical (no. 7)	ニ,ジ	ふた,ふた.つ,ふたたび	二
本	1	10	5	book, present, main, origin, true, real, counter for long cylindrical things	ホン	もと	木
中	1	11	4	in, inside, middle, mean, center	チュウ	なか,うち,あた.る	｜
長	2	12	8	long, leader, superior, senior	チョウ	なが.い,おさ	長
出	1	13	5	exit, leave, go out, come out, put out, protrude	シュツ,スイ	で.る,-で,だ.す,-だ.す,い.でる,い.だす	凵
三	1	14	3	three	サン,ゾウ	み,み.つ,みっ.つ	一
同	2	15	6	same, agree, equal	ドウ	おな.じ	口
時	2	16	10	time, hour	ジ	とき,-どき	日
政	5	17	9	politics, government	セイ,ショウ	まつりごと,まん	攵
事	3	18	8	matter, thing, fact, business, reason, possibly	ジ,ズ	こと,つか.う,つか.える	亅
自	2	19	6	oneself	ジ,シ	みずか.ら,おの.ずから,おの.ずと	自
行	2	20	6	going, journey, carry out, conduct, act, line, row, bank	コウ,ギョウ,アン	い.く,ゆ.く,-ゆ.き,-ゆき,-い.き,-いき,おこな.う,おこ.なう	行
社	2	21	7	company, firm, office, association, shrine	シャ	やしろ	示
見	1	22	7	see, hopes, chances, idea, opinion, look at, visible	ケン	み.る,み.える,み.せる	見
月	1	23	4	month, moon	ゲツ,ガツ	つき	月
分	2	24	4	part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100	ブン,フン,ブ	わ.ける,わ.け,わ.かれる,わ.かる,わ.かつ	刀
議	4	25	20	deliberation, consultation, debate, consideration	ギ		言
後	2	26	9	behind, back, later	ゴ,コウ	のち,うし.ろ,うしろ,あと,おく.れる	彳
前	2	27	9	in front, before	ゼン	まえ,-まえ	刀
民	4	28	5	people, nation, subjects	ミン	たみ	氏
生	1	29	5	life, genuine, birth	セイ,ショウ	い.きる,い.かす,い.ける,う.まれる,うま.れる,う.まれ,うまれ,う.む,お.う,は.える,は.やす,き,なま,なま-,な.る,な.す,む.す,-う	生
連	4	30	10	take along, lead, join, connect, party, gang, clique	レン	つら.なる,つら.ねる,つ.れる,-づ.れ	込
五	1	31	4	five	ゴ	いつ,いつ.つ	二
発	3	32	9	departure, discharge, publish, emit, start from, disclose, counter for gunshots	ハツ,ホツ	た.つ,あば.く,おこ.る,つか.わす,はな.つ	癶
間	2	33	12	interval, space	カン,ケン	あいだ,ま,あい	門
対	3	34	7	vis-a-vis, opposite, even, equal, versus, anti-, compare	タイ,ツイ	あいて,こた.える,そろ.い,つれあ.い,なら.ぶ,むか.う	寸
上	1	35	3	above, up	ジョウ,ショウ,シャン	うえ,-うえ,うわ-,かみ,あ.げる,-あ.げる,あ.がる,-あ.がる,あ.がり,-あ.がり,のぼ.る,のぼ.り,のぼ.せる,のぼ.す,たてまつ.る	一
部	3	36	11	section, bureau, dept, class, copy, part, portion, counter for copies of a newspaper or magazine	ブ	-べ	邦
東	2	37	8	east	トウ	ひがし	木
者	3	38	8	someone, person	シャ	もの	老
党	6	39	10	party, faction, clique	トウ	なかま,むら	儿
地	2	40	6	ground, earth	チ,ジ		土
合	2	41	6	fit, suit, join, 0.1	ゴウ,ガッ,カッ	あ.う,-あ.う,あ.い,あい-,-あ.い,-あい,あ.わす,あ.わせる,-あ.わせる	口
市	2	42	5	market, city, town	シ	いち	巾
業	3	43	13	business, vocation, arts, performance	ギョウ,ゴウ	わざ	木
内	2	44	4	inside, within, between, among, house, home	ナイ,ダイ	うち	冂
相	3	45	9	inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy	ソウ,ショウ	あい-	目
方	2	46	4	direction, person, alternative	ホウ	かた,-かた,-がた	方
四	1	47	5	four	シ	よ,よ.つ,よっ.つ,よん	囗
定	3	48	8	determine, fix, establish, decide	テイ,ジョウ	さだ.める,さだ.まる,さだ.か	宀
今	2	49	4	now	コン,キン	いま	化
回	2	50	6	-times, round, game, revolve, counter for occurrences	カイ,エ	まわ.る,-まわ.る,-まわ.り,まわ.す,-まわ.す,まわ.し-,-まわ.し,もとお.る,か.える	囗
新	2	51	13	new	シン	あたら.しい,あら.た,あら-,にい-	斤
場	2	52	12	location, place	ジョウ,チョウ	ば	土
金	1	53	8	gold	キン,コン,ゴン	かね,かな-,-がね	金
員	3	54	10	employee, member, number, the one in charge	イン		口
九	1	55	2	nine	キュウ,ク	ここの,ここの.つ	乞
入	1	56	2	enter, insert	ニュウ,ジュ	い.る,-い.る,-い.り,い.れる,-い.れ,はい.る	入
選	4	57	15	elect, select, choose, prefer	セン	えら.ぶ,え.る,よ.る	込
立	1	58	5	stand up, rise, set up, erect	リツ,リュウ,リットル	た.つ,-た.つ,た.ち-,た.てる,-た.てる,た.て-,たて-,-た.て,-だ.て,-だ.てる	立
開	3	59	12	open, unfold, unseal	カイ	ひら.く,ひら.き,-びら.き,ひら.ける,あ.く,あ.ける	門
手	1	60	4	hand	シュ,ズ	て,て-,-て,た-	扎
米	2	61	6	rice, USA, metre	ベイ,マイ,メエトル	こめ,よね	米
力	1	62	2	power, strength, strong, strain, bear up, exert	リョク,リキ,リイ	ちから	力
学	1	63	8	study, learning, science	ガク	まな.ぶ	子
問	3	64	11	question, ask, problem	モン	と.う,と.い,とん	口
高	2	65	10	tall, high, expensive	コウ	たか.い,たか,-だか,たか.まる,たか.める	高
代	3	66	5	substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee	ダイ,タイ	か.わる,かわ.る,かわ.り,か.わり,-がわ.り,-が.わり,か.える,よ,しろ	化
明	2	67	8	bright, light	メイ,ミョウ,ミン	あ.かり,あか.るい,あか.るむ,あか.らむ,あき.らか,あ.ける,-あ.け,あ.く,あ.くる,あ.かす	日
実	3	68	8	reality, truth, seed, fruit, nut	ジツ,シツ	み,みの.る,まこと,みの,みち.る	宀
円	1	69	4	circle, yen, round	エン	まる.い,まる,まど,まど.か,まろ.やか	冂
関	4	70	14	connection, barrier, gateway, involve, concerning	カン	せき,-ぜき,かか.わる,からくり,かんぬき	門
決	3	71	7	decide, fix, agree upon, appoint	ケツ	き.める,-ぎ.め,き.まる,さ.く	汁
子	1	72	3	child, sign of the rat, 11PM-1AM, first sign of Chinese zodiac	シ,ス,ツ	こ,-こ,ね	子
動	3	73	11	move, motion, change, confusion, shift, shake	ドウ	うご.く,うご.かす	力
京	2	74	8	capital, 10**16	キョウ,ケイ,キン	みやこ	亠
全	3	75	6	whole, entire, all, complete, fulfill	ゼン	まった.く,すべ.て	入
目	1	76	5	eye, class, look, insight, experience, care, favor	モク,ボク	め,-め,ま-	目
表	3	77	8	surface, table, chart, diagram	ヒョウ	おもて,-おもて,あらわ.す,あらわ.れる,あら.わす	衣
戦	4	78	13	war, battle, match	セン	いくさ,たたか.う,おのの.く,そよ.ぐ,わなな.く	戈
経	5	79	11	sutra, longitude, pass thru, expire, warp	ケイ,キョウ,キン	へ.る,た.つ,たていと,はか.る,のり	糸
通	2	80	10	traffic, pass through, avenue, commute, counter for letters, notes, documents, etc.	ツウ,ツ	とお.る,とお.り,-とお.り,-どお.り,とお.す,とお.し,-どお.し,かよ.う	込
外	2	81	5	outside	ガイ,ゲ	そと,ほか,はず.す,はず.れる,と-	夕
最	4	82	12	utmost, most, extreme	サイ,シュ	もっと.も,つま	曰
言	2	83	7	say, word	ゲン,ゴン	い.う,こと	言
氏	4	84	4	family name, surname, clan	シ	うじ,-うじ	氏
現	5	85	11	present, existing, actual	ゲン	あらわ.れる,あらわ.す,うつつ,うつ.つ	王
理	2	86	11	logic, arrangement, reason, justice, truth	リ	ことわり	王
調	3	87	15	tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate	チョウ	しら.べる,しら.べ,ととの.う,ととの.える	言
体	2	88	7	body, substance, object, reality, counter for images	タイ,テイ	からだ,かたち	化
