surface	reading	meaning	frequency_rank	jlpt_level	part_of_speech
手	て	hand; arm; forepaw; foreleg	4	N5	n
多	た	multi-	8		n
出	で	coming out; going out; outflow; efflux; rising (of the Sun or the Moon); attending (work); appearing (on stage); one's turn to go on	12	N3	n
無い	ない	nonexistent; not being (there); unowned; not had; unpossessed	13		adj-i
有る	ある	to be; to exist; to live; to have	16	N5	v5r-i
古都	こと	ancient city; former capital	18		n
加	か	addition; Canada	19		n
成る	なる	to become; to get; to grow; to turn; to reach; to attain; to result in; to turn out; to end up; to prove (to be)	20	N5	v5r
生る	なる	to bear fruit	20	N2	v5r
言う	いう	to say; to utter; to declare; to name; to call	23	N5	v5u
人	じん	-ian (e.g. Italian); -ite (e.g. Tokyoite); -er (e.g. performer, etc.); person working with ...	25	N1	suf
と言う	という	called; named; that says; that; as many as; as much as	27		exp
思う	おもう	to think; to consider; to believe; to reckon; to think (of doing); to plan (to do)	28	N4	v5u
的	てき	-ical; -ive; -al; -ic; -y; -like; -ish; -sort of; -kind of	30	N1	suf
年	とし	year; age; years	31	N5	n
日	ひ	day; days; sun; sunshine; sunlight	32	N4	n
私	わたし	I; me	33	N5	pn
者	もの	person	34	N3	n
場	ば	place; spot; space; field; discipline; sphere; realm	36	N3	n
出来る	できる	to be able to do; to be possible; to be permitted (to do); to be good at; to do well; to be proficient (in); to be capable	38	N5	v1
月	つき	Moon; month	41	N4	n
対	たい	versus; against; vs.; v.; to (e.g. score of 4 to 2, ratio of 3 to 1, vote of 320 to 180)	45	N3	n
中	なか	inside; interior; among; within	47	N5	n
見る	みる	to see; to look; to watch; to view; to observe; to examine; to look over; to assess; to check; to judge	51	N5	v1
日本	にほん	Japan	55	N3	n
一	いち	one; 1; best	57	N5	num
何	なに	what; you-know-what; that thing	61	N5	pn
世	よ	world; society; public; life; lifetime	62	N1	n
自分	じぶん	myself; yourself; oneself; himself; herself; I; me	63	N5	pn
方	かた	direction; way; person; lady; gentleman	66	N5	n
時	とき	time; hour; moment; occasion; case	67	N3	n
問題	もんだい	question (e.g. on a test); problem; problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter	68	N5	n
考える	かんがえる	to think (about, of); to think over; to ponder; to contemplate; to reflect (on); to meditate (on); to consider; to bear in mind; to allow for; to take into consideration	69	N4	v1
今	いま	now; the present time; just now; soon; immediately; another; more	72	N5	n
分け	わけ	division; splitting; classification; sharing; distribution	76		n
立ち	たち	departure; setting off; start; being used up; being consumed; being burnt out	77		n
所	ところ	place; spot; scene; site; address	78	N5	n
差	さ	difference; variation	79	N3	n
前	ぜん	last (i.e. immediately preceding); previous; ex-; former; pre- (e.g. premodern)	82	N1	n-pref
第	だい	prefix for forming ordinal numbers	83	N1	pref
性	せい	nature (of a person); sex; gender	85	N3	n
行く	いく	to go; to move (towards); to head (towards); to leave (for); to move through; to travel across; to walk along (e.g. a road)	86	N5	v5k-s
出る	でる	to leave; to exit; to go out; to come out; to get out; to leave (on a journey); to depart; to start out; to set out	91	N5	v1
時間	じかん	time; hour	92	N5	n
会	かい	meeting; assembly; party; gathering; conference; athletic meet; society; association; club	93	N3	n
書く	かく	to write; to compose; to pen; to draw; to paint	94	N5	v5k
円	えん	yen (currency of Japan); circle	95	N3	n
二	に	two; 2	96	N5	num
場合	ばあい	case; occasion; situation; circumstances	98	N4	n
持つ	もつ	to hold (in one's hand); to take; to carry; to possess; to have; to own	99	N5	v5t
必要	ひつよう	necessary; needed; essential; indispensable; necessity; need; requirement	100	N4	adj-na
情報	じょうほう	information; news; report; intelligence; information (data contained in characters, signals, code, etc.)	101	N3	n
上	うえ	above; over; up; top; summit; upper part; head (e.g. of a staircase)	104	N5	n
事	こと	thing; matter; incident; occurrence; event; something serious; trouble; crisis	105	N3	n
使う	つかう	to use (a tool, method, etc.); to make use of; to put to use; to use (a person, animal, puppet, etc.); to employ; to handle; to manage; to manipulate	106	N5	v5u
行う	おこなう	to perform; to do; to conduct oneself; to carry out	107	N4	v5u
五	ご	five; 5	109	N5	num
話	はなし	talk; speech; chat; conversation; topic; subject	110	N5	n
本	ほん	book; volume; script; this; present; current; ... in question; ... at issue	114	N5	n
分	ふん	minute (unit of time); fun (one tenth of a monme, 5.787 grains)	117	N1	n
